product_id,image_filename,full_image_path,original_url
B0DGTSTQWL,B0DGTSTQWL_allsrp_img6.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTSTQWL_allsrp_img6.jpg,https://m.media-amazon.com/images/I/41oW1cDGVlL._SS40_.jpg
B0DGTSTQWL,B0DGTSTQWL_allsrp_img7.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DGTSTQWL_allsrp_img7.jpg,https://m.media-amazon.com/images/I/41kZ8-+Fr+L._SS40_.jpg
B00Y4ORQ46,B00Y4ORQ46_allsrp_img1.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img1.jpg,https://m.media-amazon.com/images/I/61R3NvbLkIL._SL1500_.jpg
B00Y4ORQ46,B00Y4ORQ46_allsrp_img2.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img2.jpg,https://m.media-amazon.com/images/I/51lXCT6RI4L._SS40_.jpg
B00Y4ORQ46,B00Y4ORQ46_allsrp_img3.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img3.jpg,https://m.media-amazon.com/images/I/61HBpQuLjVL._SX466_.jpg
B00Y4ORQ46,B00Y4ORQ46_allsrp_img4.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img4.jpg,https://m.media-amazon.com/images/I/71xlKcqoEwL._SX522_.jpg
B00Y4ORQ46,B00Y4ORQ46_allsrp_img5.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img5.jpg,https://m.media-amazon.com/images/I/417ygiuEviL._SS40_.jpg
B00Y4ORQ46,B00Y4ORQ46_allsrp_img6.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img6.jpg,https://m.media-amazon.com/images/I/41KShSpBaFL.jpg
B00Y4ORQ46,B00Y4ORQ46_allsrp_img7.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B00Y4ORQ46_allsrp_img7.jpg,https://m.media-amazon.com/images/I/413vkg7bwzL._SS40_.jpg
B0BS1PRC4L,B0BS1PRC4L_allsrp_img1.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img1.jpg,https://m.media-amazon.com/images/I/41bqlx+PPzL._SX569_.jpg
B0BS1PRC4L,B0BS1PRC4L_allsrp_img2.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img2.jpg,https://m.media-amazon.com/images/I/811UeUfPYdL._SX522_.jpg
B0BS1PRC4L,B0BS1PRC4L_allsrp_img3.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img3.jpg,https://m.media-amazon.com/images/I/31CUmCOSnqL._SS40_.jpg
B0BS1PRC4L,B0BS1PRC4L_allsrp_img4.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img4.jpg,https://m.media-amazon.com/images/I/3172VTUPxjL.jpg
B0BS1PRC4L,B0BS1PRC4L_allsrp_img5.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img5.jpg,https://m.media-amazon.com/images/I/41HbBZjepVL.jpg
B0BS1PRC4L,B0BS1PRC4L_allsrp_img6.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img6.jpg,https://m.media-amazon.com/images/I/71aDAD0t5rL._SX679_.jpg
B0BS1PRC4L,B0BS1PRC4L_allsrp_img7.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0BS1PRC4L_allsrp_img7.jpg,https://m.media-amazon.com/images/I/51Xtx2HpemL._SS40_.jpg
B086671ZSR,B086671ZSR_allsrp_img1.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img1.jpg,https://m.media-amazon.com/images/I/61zKmv+uKBL._SX522_.jpg
B086671ZSR,B086671ZSR_allsrp_img2.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img2.jpg,https://m.media-amazon.com/images/I/516j525JBGL._SX679_.jpg
B086671ZSR,B086671ZSR_allsrp_img3.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img3.jpg,https://m.media-amazon.com/images/I/71InTQKmRyL._SY355_.jpg
B086671ZSR,B086671ZSR_allsrp_img4.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img4.jpg,https://m.media-amazon.com/images/I/41CC96JnW4L._SS40_.jpg
B086671ZSR,B086671ZSR_allsrp_img5.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img5.jpg,https://m.media-amazon.com/images/I/71vDeb1HPPL._SY450_.jpg
B086671ZSR,B086671ZSR_allsrp_img6.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img6.jpg,https://m.media-amazon.com/images/I/714fy0TzNdL._SY355_.jpg
B086671ZSR,B086671ZSR_allsrp_img7.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B086671ZSR_allsrp_img7.jpg,https://m.media-amazon.com/images/I/41JcbN5Zs9L._SS40_.jpg
B0DHDDF5J2,B0DHDDF5J2_allsrp_img1.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img1.jpg,https://m.media-amazon.com/images/I/71cr77vEx3L._SX569_.jpg
B0DHDDF5J2,B0DHDDF5J2_allsrp_img2.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img2.jpg,https://m.media-amazon.com/images/I/61xvPqxlqEL._SX425_.jpg
B0DHDDF5J2,B0DHDDF5J2_allsrp_img3.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img3.jpg,https://m.media-amazon.com/images/I/71lK-WCRvdL._SX425_.jpg
B0DHDDF5J2,B0DHDDF5J2_allsrp_img4.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img4.jpg,https://m.media-amazon.com/images/I/717rLNYK-+L._SY355_.jpg
B0DHDDF5J2,B0DHDDF5J2_allsrp_img5.jpg,/Users/amankumar/Desktop/Aims/final data/images_all_scraped/B0DHDDF5J2_allsrp_img5.jpg,https://m.media-amazon.com/images/I/4192vscwlSL._SS40_.jpg
